,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 0 0 0 0 0 0 0 0 0 0 0],2,4
1,1,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
2,2,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
3,3,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
4,4,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
5,5,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
6,6,[1 1 1 1 0 1 1 1 0 0 1 1],2,2
7,7,[1 0 0 0 0 0 0 0 1 0 1 0],2,2
8,8,[0 0 1 0 1 1 1 0 0 1 0 1],2,3
9,9,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
10,10,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
11,11,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
12,12,[1 0 1 0 0 0 0 0 0 0 0 0],2,2
13,13,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
14,14,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
15,15,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
16,16,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
17,17,[1 1 0 0 0 0 1 0 0 0 0 0],4,2
18,18,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
19,19,[1 0 0 0 0 0 0 0 0 0 1 0],2,2
20,20,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
21,21,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
22,22,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
23,23,[0 1 0 0 0 0 1 0 1 0 1 0],4,2
24,24,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
25,25,[1 0 0 0 0 0 0 1 0 0 0 0],2,2
26,26,[0 1 1 0 0 0 0 0 0 0 0 0],2,2
27,27,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
28,28,[0 1 1 0 0 0 0 0 1 0 0 0],2,2
29,29,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
30,30,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
31,31,[0 0 0 0 0 0 1 0 1 0 1 0],2,4
32,32,[1 1 0 0 0 0 0 0 0 0 0 0],4,2
33,33,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
34,34,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
35,35,[1 1 1 1 1 1 0 0 0 0 0 1],1,3
36,36,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
37,37,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
38,38,[0 1 0 0 0 0 0 0 1 0 1 0],2,2
39,39,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
40,40,[0 0 1 0 0 0 0 0 0 0 0 1],2,2
41,41,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
42,42,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
43,43,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
44,44,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
45,45,[1 1 1 0 0 0 0 1 0 1 0 0],2,2
46,46,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
47,47,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
48,48,[1 1 1 0 1 0 1 1 0 1 1 0],2,2
49,49,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
50,50,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
