,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
1,1,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
2,2,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
3,3,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
4,4,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
5,5,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
6,6,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
7,7,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
8,8,[0 0 0 1 0 1 0 0 0 0 0 0],1,1
9,9,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
10,10,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
11,11,[1 0 0 0 0 0 1 0 1 0 1 1],1,1
12,12,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
13,13,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
14,14,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
15,15,[1 1 0 0 0 0 0 0 1 0 0 0],1,1
16,16,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
17,17,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
18,18,[0 1 0 0 0 0 1 1 0 0 1 0],1,1
19,19,[0 0 0 0 0 0 0 0 0 1 0 0],3,3
20,20,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
21,21,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
22,22,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
23,23,[1 1 0 0 0 0 0 0 0 0 1 0],1,1
24,24,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
25,25,[1 0 1 1 0 1 0 0 0 0 0 1],1,1
26,26,[0 1 0 0 0 0 0 0 1 0 0 0],1,1
27,27,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
28,28,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
29,29,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
30,30,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
31,31,[1 1 0 0 0 0 0 0 0 1 0 0],1,1
32,32,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
33,33,[0 1 0 0 0 0 1 0 0 1 1 0],1,1
34,34,[1 1 1 0 0 0 0 0 1 0 1 0],1,1
35,35,[0 0 0 0 0 0 0 0 0 0 0 0],2,3
36,36,[1 0 0 0 0 0 1 0 0 0 0 0],1,1
37,37,[0 1 1 0 0 0 0 0 1 0 0 0],1,1
38,38,[1 0 0 0 0 0 1 0 1 1 1 0],1,1
39,39,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
40,40,[0 1 0 0 0 0 1 0 1 0 1 0],3,1
41,41,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
42,42,[1 0 0 0 0 0 1 0 1 0 1 0],1,1
43,43,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
45,45,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
46,46,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
47,47,[0 0 0 0 0 0 1 0 0 0 0 0],3,3
48,48,[1 1 0 0 0 0 1 0 0 0 1 0],1,1
49,49,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
50,50,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
