,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 0 0 0 0 0 0 0 0 1 0 0],1,1
1,1,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
2,2,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
3,3,[0 0 0 0 0 0 1 0 0 0 0 0],1,1
4,4,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
5,5,[0 0 0 0 0 0 0 0 0 0 0 0],2,1
6,6,[1 0 1 0 0 0 0 0 0 0 0 0],1,3
7,7,[0 1 0 0 0 0 1 0 0 0 1 0],1,3
8,8,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
9,9,[0 0 0 0 0 0 1 0 0 0 0 0],1,1
10,10,[0 0 0 0 0 0 1 0 1 0 1 0],3,1
11,11,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
12,12,[1 1 0 0 0 0 1 0 0 0 1 0],1,1
13,13,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
14,14,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
15,15,[0 1 1 0 0 0 0 0 0 0 0 0],1,1
16,16,[1 0 0 0 0 0 0 0 1 0 1 1],1,1
17,17,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
18,18,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
19,19,[1 1 1 0 0 0 0 0 1 0 1 0],1,1
20,20,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
21,21,[1 0 0 0 0 0 1 0 0 0 0 0],1,3
22,22,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
23,23,[1 0 0 0 0 0 0 0 1 0 0 0],3,3
24,24,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
25,25,[1 0 0 0 0 0 1 0 1 1 1 0],1,3
26,26,[0 1 0 0 0 0 0 0 0 1 0 0],1,1
27,27,[1 0 0 0 0 0 1 0 1 0 1 0],1,3
28,28,[0 1 1 1 0 1 0 1 0 0 0 1],1,1
29,29,[0 0 1 0 0 1 0 0 0 0 0 0],1,1
30,30,[1 1 1 0 0 0 0 1 0 1 0 0],1,1
31,31,[0 0 0 0 0 0 1 0 1 0 1 0],1,1
32,32,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
33,33,[1 0 0 0 0 0 1 0 0 0 0 0],1,1
34,34,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
35,35,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
36,36,[0 0 0 0 0 0 0 0 0 0 0 0],1,1
37,37,[0 1 1 0 0 0 0 0 0 1 0 0],1,1
38,38,[1 1 0 0 0 0 0 0 0 0 0 0],3,1
39,39,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
40,40,[1 1 0 0 0 0 0 0 0 0 0 0],1,3
41,41,[0 1 1 0 0 0 0 0 1 0 0 0],1,1
42,42,[0 0 0 0 0 0 0 0 1 0 0 0],1,3
43,43,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
45,45,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
46,46,[0 0 0 0 0 0 1 0 0 0 1 0],3,3
47,47,[0 1 0 0 0 0 1 0 1 0 1 0],3,3
48,48,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
49,49,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
50,50,[0 0 1 1 0 1 0 0 0 0 0 1],1,3
