,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
1,1,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
2,2,[1 1 1 0 1 0 1 1 0 1 1 0],2,2
3,3,[0 0 1 0 0 0 1 0 0 0 0 1],2,2
4,4,[0 1 0 0 0 0 0 0 0 0 0 0],2,2
5,5,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
6,6,[0 0 1 1 0 1 0 0 0 0 0 1],2,2
7,7,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
8,8,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
9,9,[0 1 0 0 0 0 0 0 0 1 0 0],2,2
10,10,[1 0 0 0 0 0 0 0 0 0 1 0],2,4
11,11,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
12,12,[0 0 0 0 0 0 1 0 0 0 0 0],4,4
13,13,[1 1 0 0 0 0 1 0 1 0 1 0],2,4
14,14,[0 0 0 0 0 0 0 0 0 0 0 0],2,1
15,15,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
16,16,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
17,17,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
18,18,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
19,19,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
20,20,[0 1 0 0 0 0 0 0 1 0 1 0],2,4
21,21,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
22,22,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
23,23,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
24,24,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
25,25,[1 1 0 0 0 0 0 0 0 0 1 0],2,4
26,26,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
27,27,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
28,28,[1 0 0 0 0 0 0 1 0 0 0 0],2,2
29,29,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
30,30,[1 0 1 1 0 1 0 0 0 0 0 1],2,2
31,31,[1 1 0 0 0 0 1 0 1 0 1 0],2,4
32,32,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
33,33,[1 0 0 0 0 0 1 0 0 0 0 0],2,4
34,34,[1 0 1 0 0 0 1 0 0 0 1 1],2,2
35,35,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
36,36,[1 0 1 0 0 0 1 0 0 0 0 1],2,2
37,37,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
38,38,[0 1 0 0 0 0 1 1 1 1 1 0],2,2
39,39,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
40,40,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
41,41,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
42,42,[0 1 0 0 0 0 0 0 0 0 0 0],2,2
43,43,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
44,44,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
45,45,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
46,46,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
47,47,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
48,48,[1 0 0 0 0 0 1 0 1 0 1 1],2,4
49,49,[0 1 0 0 0 0 1 1 0 0 1 0],2,2
50,50,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
