,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
1,1,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
2,2,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
3,3,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
4,4,[1 0 0 0 0 0 1 0 0 0 1 1],2,2
5,5,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
6,6,[0 1 1 0 0 0 0 0 1 0 0 0],2,2
7,7,[0 0 1 1 0 1 0 0 0 0 0 1],2,2
8,8,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
9,9,[0 0 0 0 0 0 1 0 1 0 1 0],2,4
10,10,[1 1 0 0 0 0 0 0 1 1 1 0],2,2
11,11,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
12,12,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
13,13,[0 0 0 0 0 0 0 0 0 0 0 0],2,4
14,14,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
15,15,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
16,16,[1 1 0 0 0 0 0 0 1 1 1 0],2,2
17,17,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
18,18,[0 1 0 0 0 0 1 1 1 1 1 0],2,2
19,19,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
20,20,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
21,21,[1 0 0 0 0 0 0 0 0 1 0 0],2,2
22,22,[1 1 0 0 0 0 0 0 0 0 1 0],2,2
23,23,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
24,24,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
25,25,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
26,26,[0 0 0 0 0 0 1 0 0 1 0 0],2,4
27,27,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
28,28,[1 1 1 0 1 0 1 1 0 1 1 0],2,2
29,29,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
30,30,[1 1 1 1 1 1 0 0 0 0 0 1],1,2
31,31,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
32,32,[0 1 1 0 0 0 0 0 0 1 0 0],2,2
33,33,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
34,34,[0 1 0 0 0 0 1 0 1 0 1 0],4,2
35,35,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
36,36,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
37,37,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
38,38,[1 1 0 0 0 0 0 0 1 0 0 0],2,2
39,39,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
40,40,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
41,41,[1 0 0 0 0 0 1 0 0 0 1 0],2,2
42,42,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
43,43,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
45,45,[0 1 1 0 0 0 0 0 0 0 0 0],2,2
46,46,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
47,47,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
48,48,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
49,49,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
50,50,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
