,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
1,1,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
2,2,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
3,3,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
4,4,[0 0 0 0 0 0 1 0 0 0 0 0],1,3
5,5,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
6,6,[1 1 1 1 0 1 1 1 0 0 1 1],1,1
7,7,[1 0 0 0 0 0 0 0 1 0 1 0],1,1
8,8,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
9,9,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
10,10,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
11,11,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
12,12,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
13,13,[1 0 0 0 0 0 0 0 0 0 1 0],1,1
14,14,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
15,15,[1 1 0 0 0 0 0 0 0 0 1 0],1,1
16,16,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
17,17,[0 1 1 0 0 0 0 0 0 0 0 0],1,1
18,18,[1 0 0 0 0 0 1 0 1 0 1 0],3,1
19,19,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
20,20,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
21,21,[0 0 1 0 0 0 0 0 0 0 0 1],1,1
22,22,[1 0 0 0 0 0 0 0 0 0 1 0],1,1
23,23,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
24,24,[1 0 0 0 0 0 1 0 1 0 1 0],1,1
25,25,[1 1 0 0 0 0 1 0 1 1 1 0],1,1
26,26,[0 1 0 0 0 0 0 0 0 1 0 0],1,3
27,27,[0 0 0 1 0 0 0 0 0 0 1 0],1,1
28,28,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
29,29,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
30,30,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
31,31,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
32,32,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
33,33,[1 0 0 0 0 0 1 0 1 0 1 1],1,1
34,34,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
35,35,[1 1 0 0 0 0 0 0 0 0 0 0],3,1
36,36,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
37,37,[0 1 0 0 0 0 1 0 0 1 1 0],1,1
38,38,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
39,39,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
40,40,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
41,41,[1 0 0 0 0 0 1 0 0 0 0 0],1,1
42,42,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
43,43,[1 0 0 0 0 0 1 0 0 0 0 0],1,1
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
45,45,[0 1 0 0 0 0 0 0 0 1 0 0],1,3
46,46,[0 0 1 0 0 0 1 0 0 0 1 0],1,1
47,47,[1 1 0 0 0 0 0 0 0 0 0 0],3,1
48,48,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
49,49,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
50,50,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
